id,name,symbol,slug,cmc_rank,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,pull_timestamp
36148,World Liberty Financial USD,USD1,usd1,43,1.0004120184819447,372347358.1907547,2495300878.8866377,-0.01389141,0.03112575,0.08836192,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
20396,Kaspa,KAS,kaspa,44,0.08710716157014806,41526587.85650816,2319553113.692129,-0.57002531,-1.03074452,-0.68137859,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
4030,Algorand,ALGO,algorand,45,0.24786199654959543,91277334.89594685,2162353742.2711635,-1.33371274,-2.79120268,-3.61531571,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
3077,VeChain,VET,vechain,46,0.024868236315260955,64839465.48808413,2138296323.56708,-1.04756613,-1.13188302,4.1212075,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
3794,Cosmos,ATOM,cosmos,47,4.493001137925022,100213335.70856926,2090717076.8678284,-0.92134709,-0.69279862,0.32499154,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
4269,GateToken,GT,gatetoken,48,16.97342543214282,5682672.99254595,2086213700.2388284,-0.02700521,-0.64689631,-3.93669913,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
34466,Pudgy Penguins,PENGU,pudgy-penguins,49,0.030007933955616458,334234517.1046954,1886310614.2938113,-1.22540869,-3.65472771,-6.09859654,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
5690,Render,RENDER,render,50,3.5675351024237285,78137294.97085506,1850068821.74227,-0.98628709,-0.53314714,-3.21607192,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
13502,Worldcoin,WLD,worldcoin-org,51,0.9326041988511354,173991214.04732215,1834596042.1150143,-1.14244583,-2.01818093,-2.91547278,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
35626,Story,IP,story-protocol,52,5.957684361975866,62743419.38078075,1811149075.496363,-0.54390121,-4.86645323,2.2659796,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
23149,Sei,SEI,sei,53,0.2924242943403144,168321569.153414,1756495261.142539,-1.66008125,-2.38634312,-4.89600445,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
23095,Bonk,BONK,bonk1,54,2.1055963124491968e-05,239685945.042503,1702267563.4565258,-0.87176487,-0.80402782,-5.50226041,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
35336,OFFICIAL TRUMP,TRUMP,official-trump,55,8.406302953699578,313785807.94854295,1681254571.0447774,-0.42115993,-0.47323494,-5.69582316,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
2087,KuCoin Token,KCS,kucoin-token,56,13.151835105178028,6189629.1855939,1675832261.2731006,0.113774,1.19842416,4.672472,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
2280,Filecoin,FIL,filecoin,57,2.3027409096452534,161606557.42194656,1577200674.9078786,-0.68640198,-0.94726394,-5.54024628,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
33038,Sky,SKY,sky,58,0.06622130768075131,2281314.28086758,1552428001.9875152,-0.03830491,-0.34734924,-4.8691342,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
7950,Flare,FLR,flare,59,0.021507950061868047,9039693.55152483,1548699558.784725,-2.14226897,-3.3317045,-8.30336695,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
3773,Artificial Superintelligence Alliance,FET,artificial-superintelligence-alliance,60,0.6367016690051134,73263394.14998457,1514145387.9971888,-0.64342301,-1.47762961,-7.04320649,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
29210,Jupiter,JUP,jupiter-ag,61,0.4949882854550418,82513047.98033786,1513808923.7215588,-1.53083533,4.62069895,-1.25513044,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
26081,First Digital USD,FDUSD,first-digital-usd,62,0.9974223370667534,6770230682.847326,1448721984.5538757,-0.03227076,-0.00300406,-0.03030515,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
2634,XDC Network,XDC,xdc-network,63,0.07854614255384526,40265990.70788249,1393405623.703708,0.20281042,-0.65098593,-4.37690179,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
23635,Four,FORM,binaryx-new,64,3.504328029891452,36508679.86735269,1338188125.9008415,-1.28943583,0.21520327,-1.97110986,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
7226,Injective,INJ,injective,65,13.304086950188342,153791278.5660884,1330022017.1863027,-0.86689194,-1.52996435,-4.81159798,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
22861,Celestia,TIA,celestia,66,1.6813942599002747,106123005.5271678,1277955257.8500743,-1.01363041,-0.02156333,-2.65081139,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
3155,Quant,QNT,quant,67,103.95471637759911,12680221.23395924,1255018054.6910632,-0.53691031,-1.89541297,-2.8732312,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
11840,Optimism,OP,optimism-ethereum,68,0.6966463980806089,175920496.05945456,1220654636.2206697,-1.00252883,-1.29877076,-4.10603674,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
27772,PayPal USD,PYUSD,paypal-usd,69,0.9995395078555486,67760427.62338887,1181578077.4300756,-0.01386703,0.00158402,0.0031729,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
4847,Stacks,STX,stacks,70,0.640447287061463,30242948.79965836,1149339854.8324172,-0.65195118,-1.36282223,-5.93686268,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
28081,SPX6900,SPX,spx6900,71,1.229263909217258,31717837.38653958,1144436205.353703,-0.94698615,0.30698074,-9.57170585,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
29270,Aerodrome Finance,AERO,aerodrome-finance,72,1.270480927609489,60078087.25463903,1124534623.708739,-0.98141337,-5.18635908,-9.25217035,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
8000,Lido DAO,LDO,lido-dao,73,1.2517313582568381,112757692.87488486,1121260886.9140716,-0.8123248,-4.13244463,-4.75069281,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
6538,Curve DAO Token,CRV,curve-dao-token,74,0.8068838146031481,152636211.74594474,1112333575.2815344,-1.03699882,0.23749718,-8.36337269,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
