id,name,symbol,slug,cmc_rank,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,pull_timestamp
35626,Story,IP,story-protocol,71,2.299243035914227,94785819.87460168,762231055.7739248,-0.25544292,-5.29676762,-5.49157447,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
7186,PancakeSwap,CAKE,pancakeswap,72,2.213895603173046,78049727.7248617,747306075.1988512,-0.25465642,-5.8843068,-4.95997473,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
23095,Bonk,BONK,bonk1,73,8.705774544460596e-06,93053621.05028069,719027874.0050939,0.01322428,-9.53052828,-3.8971238,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
29210,Jupiter,JUP,jupiter-ag,74,0.22663733089532292,36366312.46739095,710949261.3442113,0.07315611,-8.83991203,-4.6832836,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
36410,MYX Finance,MYX,myx-finance,75,2.902696974549985,37154507.17663357,641802044.4305825,2.87922763,10.27769708,5.50440258,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
34466,Pudgy Penguins,PENGU,pudgy-penguins,76,0.009699809945791796,141927578.1996097,609733895.1905817,0.63360039,-11.29558546,-7.13491541,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
131,Dash,DASH,dash,77,48.15629511121626,156875546.82254526,602192108.6702448,1.45263005,-14.11915566,-13.5446935,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
2694,Nexo,NEXO,nexo,78,0.9144810724615731,9899063.43727458,590888140.3408413,0.24607152,-5.79507744,0.23949038,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
22691,Starknet,STRK,starknet-token,79,0.11939616211678052,131461701.78347884,573276610.5879523,0.41514142,-10.16570124,-14.246259,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
11840,Optimism,OP,optimism-ethereum,80,0.29282302278155586,99623002.0462368,555359625.907297,-0.34088718,-10.18745171,-4.67843297,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
29270,Aerodrome Finance,AERO,aerodrome-finance,81,0.6127658618659436,28447371.78229215,553130579.3839759,-0.45418697,-9.36672357,-7.35795876,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
28081,SPX6900,SPX,spx6900,82,0.590771269104096,40201219.12403743,550003969.347798,-1.67410732,-12.19921444,15.73259935,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
10603,Immutable,IMX,immutable-x,83,0.27632662676296055,29072856.56332999,549606069.720742,-0.4509423,-8.87690012,-11.61343343,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
6538,Curve DAO Token,CRV,curve-dao-token,84,0.3849994409379526,101901827.65868434,546105676.4595335,-0.61171134,-9.14738081,-1.43798315,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
29420,Virtuals Protocol,VIRTUAL,virtual-protocol,85,0.8167163380841196,103734979.9378189,535832905.34188163,0.5156529,-13.04541639,-8.55881613,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
3773,Artificial Superintelligence Alliance,FET,artificial-superintelligence-alliance,86,0.22938593726818024,99285081.52359983,530328288.13163537,-0.57681793,-10.96288382,-17.62340352,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
8000,Lido DAO,LDO,lido-dao,87,0.5904573836070399,49446566.5077901,526743796.90915895,-0.26621763,-9.1250252,-7.16270299,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
7226,Injective,INJ,injective,88,5.186948168597389,63776507.5171731,518544060.3378673,-0.42096728,-11.61802079,-4.7521645,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
19891,USDD,USDD,usdd,89,1.0000618379103718,6620140.14745976,517605457.6607356,-0.01647034,-0.01869651,0.03693885,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
3871,AB,AB,newton,90,0.005782045881274603,16441792.9568341,516735062.2806669,-0.33453771,-4.29214984,-7.37090431,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
4847,Stacks,STX,stacks,91,0.28336890202399545,13385264.1232265,514097892.05158293,-0.23485593,-9.90666264,-8.44989057,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
2563,TrueUSD,TUSD,trueusd,92,0.9963612419336102,17318778.01253904,492715662.25278234,0.0034964,-0.05753546,-0.04441752,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
34104,Morpho,MORPHO,morpho,93,1.366755637601612,24528326.49380673,492451782.81758755,-0.81786252,-7.93015339,-8.96779973,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
6719,The Graph,GRT,the-graph,94,0.046284051486570575,29116282.819776,491183429.1563651,-0.27393933,-7.81594552,-7.77249836,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
2011,Tezos,XTZ,tezos,95,0.460273231835206,26430686.26029718,491183725.02260786,-0.19947189,-6.50276426,-6.0715645,2025-12-01 07:11:00+00:00,2025-12-01 07:12:29.591000+00:00
22861,Celestia,TIA,celestia,96,0.5675610580008937,162126092.3241351,481519846.53096664,0.24112142,-12.08058038,-8.98235906,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
2394,Telcoin,TEL,telcoin,97,0.0051838954861554674,6135317.77165382,471772702.5849185,-1.00216153,-5.98323807,-4.36837365,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
32880,Kaia,KAIA,kaia,98,0.07385601444703713,13991937.05515653,456564162.1478929,-0.49202753,-6.24183616,-6.06423436,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
29814,ether.fi,ETHFI,ether-fi-ethfi,99,0.747777328603432,42272169.11708846,455043721.14133286,-0.10823636,-6.8217403,5.16539134,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
5964,Trust Wallet Token,TWT,trust-wallet-token,100,0.9724502976684047,14659422.92805078,418017986.2149709,-0.25937706,-4.80052599,-8.6269865,2025-12-01 07:10:00+00:00,2025-12-01 07:12:29.591000+00:00
